,January,February,March,April,May,June,July,August,September,October,November,December
New York,"['50', '37', '39', '40', '42', '40', '35', '45', '39', '34', '29', '29', '30', '28', '32', '34', '27', '37', '33', '40', '12', '22', '39', '48', '33', '26', '37', '28', '39', '25', '12']","['18', '25', '40', '42', '49', '39', '42', '54', '28', '29', '35', '31', '37', '39', '50', '38', '31', '41', '31', '31', '44', '38', '39', '51', '40', '36', '30', '31']","['36', '37', '32', '35', '28', '24', '27', '35', '42', '46', '44', '38', '43', '49', '58', '46', '40', '40', '43', '45', '46', '45', '41', '47', '47', '42', '41', '47', '53', '59', '48']","['42', '45', '53', '50', '43', '56', '56', '61', '53', '53', '48', '56', '64', '59', '59', '55', '55', '56', '62', '61', '61', '60', '66', '61', '58', '60', '53', '49', '53', '62']","['53', '65', '55', '62', '54', '61', '62', '64', '55', '65', '65', '50', '49', '51', '59', '66', '69', '69', '68', '79', '64', '70', '67', '68', '64', '79', '76', '68', '71', '69', '76']","['75', '76', '67', '68', '75', '77', '75', '73', '69', '66', '72', '69', '68', '66', '73', '74', '73', '72', '72', '77', '71', '74', '77', '77', '76', '81', '85', '82', '84', '79']","['81', '81', '83', '83', '81', '84', '79', '74', '87', '84', '79', '84', '84', '86', '83', '84', '85', '80', '85', '90', '92', '83', '74', '78', '80', '83', '81', '84', '84', '85', '83']","['83', '82', '82', '85', '79', '79', '82', '83', '81', '79', '78', '81', '77', '79', '77', '77', '82', '83', '83', '83', '84', '86', '74', '74', '71', '70', '71', '75', '79', '79', '78']","['72', '76', '77', '79', '71', '68', '71', '73', '71', '73', '78', '77', '66', '71', '79', '42', '72', '66', '67', '68', '75', '78', '79', '71', '75', '73', '72', '74', '73', '66']","['71', '80', '60', '64', '56', '65', '73', '63', '57', '58', '57', '62', '62', '66', '63', '63', '55', '55', '58', '58', '59', '60', '61', '64', '61', '59', '65', '62', '59', '63', '68']","['50', '55', '48', '53', '58', '51', '54', '39', '39', '47', '54', '43', '31', '41', '45', '38', '41', '42', '47', '43', '46', '50', '41', '48', '46', '52', '53', '47', '40', '40']","['41', '41', '36', '38', '39', '42', '36', '40', '53', '55', '35', '34', '48', '54', '43', '36', '42', '35', '23', '30', '32', '38', '44', '42', '40', '42', '49', '46', '44', '49', '44']"
Los Angeles,"['52', '54', '58', '57', '56', '54', '55', '59', '57', '57', '57', '55', '56', '53', '54', '56', '56', '58', '64', '63', '57', '57', '58', '64', '65', '67', '65', '64', '64', '62', '57']","['58', '55', '54', '53', '53', '55', '59', '62', '51', '51', '53', '56', '53', '58', '55', '54', '50', '51', '52', '50', '49', '51', '53', '57', '56', '60', '62', '65']","['64', '59', '58', '61', '67', '56', '60', '56', '56', '56', '62', '66', '66', '69', '69', '77', '79', '78', '72', '63', '59', '62', '63', '68', '73', '71', '68', '66', '70', '77', '82']","['79', '69', '63', '62', '62', '67', '76', '83', '78', '74', '72', '72', '75', '71', '66', '62', '72', '81', '79', '63', '65', '74', '80', '77', '78', '74', '69', '70', '64', '63']","['69', '72', '73', '72', '69', '66', '65', '67', '68', '66', '73', '75', '74', '76', '70', '65', '70', '70', '62', '68', '65', '68', '60', '72', '68', '57', '64', '70', '76', '76', '73']","['70', '71', '74', '76', '78', '78', '75', '80', '85', '89', '92', '86', '80', '71', '74', '74', '72', '73', '73', '71', '69', '74', '77', '75', '71', '74', '76', '80', '83', '85']","['84', '82', '77', '77', '76', '79', '75', '73', '76', '81', '86', '86', '87', '87', '89', '89', '80', '79', '77', '77', '83', '83', '87', '90', '83', '87', '90', '87', '84', '84', '83']","['85', '89', '88', '88', '89', '85', '81', '82', '82', '82', '81', '83', '86', '90', '89', '86', '76', '76', '81', '85', '88', '85', '76', '85', '86', '86', '84', '83', '84', '87', '88']","['86', '86', '87', '88', '86', '86', '85', '77', '79', '73', '75', '83', '89', '92', '85', '57', '79', '78', '75', '78', '82', '85', '80', '82', '83', '74', '70', '69', '70', '71']","['73', '78', '76', '76', '81', '84', '83', '80', '73', '78', '82', '82', '75', '71', '81', '84', '72', '73', '76', '81', '86', '88', '86', '90', '87', '83', '71', '72', '69', '70', '73']","['76', '76', '77', '77', '79', '75', '75', '82', '83', '77', '75', '77', '71', '70', '67', '77', '83', '82', '72', '59', '63', '66', '69', '70', '66', '64', '56', '52', '54', '56']","['61', '64', '66', '60', '63', '67', '65', '63', '64', '64', '65', '66', '69', '62', '63', '63', '59', '59', '63', '66', '66', '63', '56', '57', '55', '48', '58', '59', '57', '58', '64']"
Chicago,"['27', '23', '29', '34', '38', '35', '43', '36', '27', '27', '29', '32', '30', '31', '33', '30', '29', '28', '25', '13', '8', '27', '28', '18', '1', '6', '7', '25', '2', '-17', '-8']","['13', '34', '42', '48', '29', '35', '48', '15', '17', '27', '31', '35', '22', '40', '22', '25', '26', '26', '24', '31', '30', '31', '37', '33', '22', '22', '22', '22']","['25', '19', '18', '7', '15', '20', '24', '33', '36', '37', '34', '42', '46', '58', '38', '37', '38', '37', '41', '40', '40', '38', '46', '44', '36', '40', '44', '53', '42', '38', '37']","['40', '46', '47', '43', '47', '55', '57', '59', '56', '39', '47', '47', '44', '34', '40', '52', '58', '52', '42', '48', '59', '62', '51', '48', '57', '54', '40', '43', '46', '46']","['55', '49', '47', '52', '60', '61', '47', '54', '62', '51', '46', '44', '49', '59', '61', '65', '49', '67', '67', '49', '45', '65', '66', '60', '69', '59', '63', '60', '58', '67', '70']","['68', '58', '61', '68', '72', '61', '65', '64', '66', '62', '67', '63', '55', '67', '65', '65', '60', '69', '66', '59', '66', '70', '71', '72', '75', '80', '82', '80', '79', '81']","['85', '82', '82', '83', '84', '75', '71', '77', '79', '84', '74', '81', '82', '81', '82', '78', '83', '83', '85', '88', '78', '73', '74', '76', '77', '76', '78', '81', '76', '73', '72']","['76', '77', '81', '82', '82', '78', '81', '79', '78', '77', '78', '81', '77', '78', '74', '72', '77', '80', '79', '83', '81', '75', '71', '70', '70', '68', '76', '70', '74', '73', '66']","['69', '76', '76', '69', '73', '69', '73', '62', '71', '79', '82', '80', '75', '73', '74', '44', '75', '76', '77', '79', '76', '74', '69', '70', '72', '68', '69', '66', '66', '77']","['80', '70', '67', '59', '58', '63', '64', '67', '65', '66', '59', '46', '51', '49', '55', '49', '51', '53', '58', '60', '63', '50', '52', '50', '50', '48', '54', '51', '44', '40', '41']","['34', '39', '43', '49', '40', '45', '32', '30', '37', '41', '30', '16', '20', '30', '32', '35', '35', '40', '38', '41', '50', '37', '35', '41', '45', '43', '42', '36', '38', '38']","['38', '32', '35', '37', '39', '38', '36', '41', '47', '23', '24', '35', '39', '35', '25', '31', '30', '20', '28', '34', '37', '41', '43', '42', '46', '53', '44', '42', '57', '34', '28']"
Houston,"['50', '49', '47', '47', '53', '58', '63', '64', '56', '51', '54', '59', '48', '47', '49', '57', '62', '64', '49', '41', '50', '59', '41', '46', '48', '52', '54', '55', '40', '45', '54']","['60', '61', '64', '67', '67', '74', '71', '49', '40', '57', '65', '59', '54', '66', '69', '64', '67', '55', '52', '55', '54', '61', '66', '56', '57', '61', '64', '55']","['55', '63', '58', '43', '40', '46', '63', '71', '69', '67', '67', '67', '67', '72', '58', '56', '61', '61', '64', '67', '69', '72', '70', '73', '75', '69', '67', '70', '72', '74', '55']","['56', '60', '64', '75', '76', '77', '74', '69', '81', '80', '78', '72', '78', '62', '71', '74', '74', '78', '68', '73', '75', '75', '76', '75', '76', '78', '78', '77', '79', '81']","['82', '81', '79', '82', '79', '80', '83', '83', '84', '75', '77', '77', '77', '79', '80', '81', '82', '84', '87', '85', '85', '86', '85', '85', '85', '85', '85', '86', '85', '88', '87']","['89', '89', '89', '88', '82', '87', '89', '88', '95', '88', '84', '85', '84', '86', '87', '88', '87', '90', '89', '89', '90', '88', '87', '90', '85', '83', '89', '91', '88', '84']","['86', '88', '87', '88', '89', '91', '91', '90', '90', '91', '92', '92', '88', '87', '89', '89', '89', '88', '88', '88', '89', '87', '83', '80', '82', '84', '86', '89', '88', '86', '89']","['89', '89', '88', '88', '90', '90', '90', '90', '91', '90', '90', '91', '92', '91', '91', '91', '90', '90', '89', '90', '89', '89', '90', '88', '90', '88', '90', '91', '90', '89', '88']","['88', '88', '88', '89', '92', '92', '92', '89', '89', '88', '89', '88', '88', '89', '87', '46', '83', '80', '87', '85', '86', '85', '86', '85', '84', '86', '84', '86', '86', '86']","['86', '87', '87', '85', '86', '88', '82', '75', '79', '84', '73', '64', '72', '81', '84', '74', '66', '70', '80', '83', '81', '70', '73', '76', '66', '59', '71', '73', '73', '75', '50']","['53', '58', '60', '68', '71', '72', '73', '55', '58', '66', '72', '42', '42', '45', '52', '55', '60', '67', '69', '70', '75', '74', '59', '60', '67', '76', '63', '66', '72', '76']","['63', '57', '60', '64', '66', '69', '64', '65', '71', '54', '50', '53', '64', '64', '70', '72', '46', '51', '51', '52', '54', '54', '59', '64', '63', '66', '67', '69', '66', '56', '55']"
Phoenix,"['44', '38', '41', '47', '50', '50', '50', '53', '56', '56', '53', '53', '54', '56', '55', '54', '55', '57', '55', '55', '56', '50', '49', '51', '54', '55', '56', '56', '56', '60', '61']","['61', '60', '58', '55', '56', '50', '53', '50', '51', '50', '50', '51', '56', '55', '60', '53', '50', '47', '46', '45', '47', '44', '45', '45', '52', '55', '58', '61']","['62', '64', '62', '65', '72', '75', '69', '61', '60', '64', '63', '57', '59', '59', '64', '66', '68', '73', '73', '75', '64', '63', '69', '72', '77', '77', '77', '78', '74', '76', '75']","['71', '76', '68', '74', '68', '71', '78', '85', '87', '69', '69', '66', '70', '75', '79', '70', '67', '81', '87', '83', '79', '77', '78', '82', '88', '93', '87', '83', '75', '71']","['78', '81', '85', '87', '85', '79', '71', '77', '81', '75', '75', '76', '80', '86', '89', '84', '70', '77', '78', '65', '72', '66', '69', '79', '82', '75', '68', '76', '80', '88', '89']","['88', '85', '88', '87', '90', '93', '90', '92', '96', '98', '96', '99', '102', '92', '92', '92', '94', '90', '91', '91', '89', '87', '87', '92', '92', '91', '94', '97', '99', '101']","['101', '96', '95', '93', '96', '96', '94', '91', '92', '98', '97', '100', '97', '99', '103', '104', '98', '95', '97', '96', '98', '95', '96', '90', '95', '93', '99', '98', '96', '97', '89']","['92', '96', '97', '95', '99', '96', '96', '95', '89', '93', '87', '96', '100', '103', '101', '102', '96', '95', '101', '102', '105', '96', '93', '90', '91', '95', '100', '98', '94', '98', '96']","['97', '95', '98', '99', '98', '95', '99', '90', '89', '88', '87', '91', '94', '92', '87', '56', '88', '94', '92', '88', '87', '87', '86', '80', '82', '81', '79', '83', '82', '83']","['82', '82', '86', '87', '88', '89', '88', '88', '85', '81', '75', '78', '83', '82', '83', '85', '84', '76', '79', '78', '77', '81', '82', '75', '70', '74', '76', '66', '66', '58', '62']","['70', '72', '73', '77', '77', '75', '78', '77', '75', '78', '78', '69', '71', '72', '71', '73', '76', '74', '72', '64', '59', '59', '63', '66', '65', '58', '60', '62', '52', '53']","['58', '59', '63', '65', '63', '65', '65', '64', '62', '62', '63', '61', '66', '66', '58', '53', '51', '52', '55', '58', '57', '59', '60', '57', '55', '55', '45', '49', '47', '48', '52']"
Philadelphia,"['54', '38', '38', '40', '44', '41', '32', '46', '38', '36', '30', '29', '30', '28', '31', '34', '27', '37', '33', '40', '16', '20', '39', '49', '32', '26', '36', '31', '39', '22', '15']","['19', '27', '39', '41', '49', '42', '47', '58', '29', '29', '35', '34', '37', '39', '51', '38', '33', '43', '31', '31', '46', '39', '39', '53', '44', '36', '32', '33']","['38', '37', '34', '35', '28', '24', '29', '37', '44', '51', '48', '40', '46', '54', '62', '47', '42', '41', '43', '47', '51', '47', '43', '50', '49', '43', '47', '49', '60', '64', '50']","['43', '47', '54', '56', '47', '59', '65', '71', '70', '58', '53', '65', '72', '66', '60', '57', '56', '70', '68', '68', '66', '61', '72', '65', '61', '66', '57', '58', '58', '68']","['59', '74', '65', '70', '57', '67', '72', '66', '65', '70', '65', '53', '51', '55', '61', '68', '74', '73', '78', '83', '66', '74', '74', '74', '72', '82', '80', '76', '86', '80', '80']","['84', '82', '70', '71', '78', '82', '80', '78', '76', '73', '74', '73', '74', '69', '76', '78', '81', '81', '82', '84', '74', '78', '81', '82', '84', '87', '90', '89', '86', '84']","['83', '85', '90', '86', '88', '88', '84', '71', '87', '85', '84', '86', '86', '87', '87', '87', '89', '89', '91', '94', '95', '90', '73', '81', '83', '86', '85', '86', '88', '89', '87']","['86', '84', '86', '87', '83', '84', '85', '84', '84', '80', '81', '82', '79', '84', '80', '81', '86', '89', '88', '87', '86', '87', '73', '75', '74', '71', '72', '79', '79', '81', '82']","['77', '81', '83', '83', '76', '69', '74', '77', '77', '78', '81', '84', '70', '73', '82', '45', '75', '68', '70', '70', '77', '80', '82', '74', '76', '76', '77', '77', '78', '70']","['73', '84', '64', '67', '58', '67', '75', '62', '58', '60', '61', '65', '64', '67', '68', '63', '55', '56', '60', '56', '60', '63', '62', '64', '62', '62', '66', '64', '63', '64', '70']","['49', '54', '48', '52', '57', '53', '55', '40', '39', '48', '54', '43', '32', '40', '44', '39', '38', '42', '48', '45', '47', '50', '43', '45', '47', '52', '55', '47', '41', '40']","['42', '37', '37', '40', '40', '43', '37', '39', '53', '56', '35', '36', '46', '54', '44', '36', '44', '34', '25', '32', '34', '39', '44', '43', '42', '43', '48', '47', '45', '59', '45']"
San Antonio,"['48', '41', '46', '49', '55', '60', '63', '63', '57', '55', '57', '58', '49', '47', '49', '57', '61', '65', '54', '46', '51', '61', '47', '52', '49', '53', '53', '56', '45', '46', '52']","['59', '63', '65', '67', '69', '74', '68', '46', '42', '49', '61', '57', '53', '64', '70', '63', '68', '56', '47', '54', '54', '57', '66', '56', '57', '63', '66', '59']","['61', '58', '58', '39', '40', '45', '60', '70', '76', '71', '71', '73', '75', '69', '53', '51', '57', '59', '60', '60', '67', '68', '67', '69', '74', '67', '67', '70', '72', '73', '53']","['53', '57', '63', '75', '75', '74', '74', '74', '78', '80', '77', '70', '77', '61', '69', '73', '75', '73', '69', '70', '75', '75', '73', '74', '73', '74', '76', '77', '77', '77']","['78', '83', '76', '78', '78', '77', '80', '82', '81', '62', '70', '71', '73', '77', '78', '78', '81', '79', '85', '83', '85', '85', '86', '84', '85', '82', '83', '85', '85', '84', '84']","['83', '83', '85', '84', '84', '88', '89', '88', '90', '80', '79', '81', '82', '85', '88', '87', '88', '89', '92', '93', '91', '89', '89', '89', '87', '84', '87', '86', '86', '78']","['85', '85', '85', '87', '88', '87', '88', '88', '90', '90', '90', '88', '87', '88', '89', '89', '88', '89', '88', '89', '89', '87', '84', '83', '81', '82', '85', '89', '89', '89', '89']","['89', '89', '84', '83', '89', '90', '91', '92', '92', '92', '90', '92', '93', '92', '92', '91', '91', '92', '91', '90', '88', '88', '88', '88', '88', '90', '91', '88', '88', '88', '87']","['86', '88', '89', '88', '87', '88', '88', '88', '87', '86', '85', '85', '85', '85', '86', '47', '84', '87', '88', '86', '85', '84', '85', '85', '84', '85', '84', '85', '86', '86']","['85', '85', '84', '82', '83', '85', '75', '73', '78', '85', '59', '61', '70', '79', '85', '69', '65', '69', '81', '80', '76', '68', '72', '77', '57', '60', '66', '71', '66', '58', '47']","['51', '57', '60', '70', '73', '76', '70', '49', '57', '64', '68', '39', '38', '44', '51', '53', '60', '63', '67', '72', '73', '64', '58', '61', '66', '70', '58', '56', '68', '77']","['59', '55', '59', '62', '65', '66', '59', '65', '69', '50', '48', '51', '62', '65', '70', '68', '47', '47', '49', '53', '56', '52', '56', '58', '63', '66', '65', '70', '62', '53', '52']"
San Diego,"['53', '53', '55', '55', '55', '55', '56', '61', '57', '56', '57', '55', '55', '55', '56', '58', '58', '57', '61', '63', '57', '56', '59', '63', '66', '66', '63', '62', '62', '61', '55']","['57', '57', '56', '58', '55', '52', '57', '57', '53', '54', '53', '56', '56', '58', '55', '55', '52', '51', '50', '50', '49', '49', '52', '54', '54', '58', '60', '63']","['61', '56', '56', '58', '65', '60', '59', '55', '54', '53', '56', '59', '58', '64', '66', '70', '69', '69', '66', '60', '57', '58', '61', '63', '66', '65', '63', '63', '64', '69', '76']","['72', '64', '61', '59', '59', '62', '69', '77', '67', '66', '67', '63', '70', '68', '63', '56', '66', '73', '70', '61', '59', '64', '70', '71', '73', '67', '65', '67', '59', '59']","['62', '65', '67', '67', '64', '64', '62', '60', '62', '63', '67', '68', '68', '70', '66', '60', '61', '64', '58', '60', '58', '58', '60', '64', '64', '57', '57', '63', '69', '68', '65']","['63', '65', '66', '67', '72', '71', '70', '73', '74', '81', '82', '77', '74', '68', '68', '68', '67', '68', '71', '68', '66', '68', '71', '70', '67', '69', '72', '75', '77', '80']","['80', '75', '71', '72', '72', '72', '70', '70', '73', '76', '81', '79', '81', '82', '85', '83', '76', '76', '73', '73', '77', '82', '82', '83', '82', '83', '84', '84', '78', '78', '79']","['79', '83', '83', '84', '83', '79', '75', '77', '77', '78', '76', '78', '82', '86', '85', '82', '73', '73', '76', '79', '83', '80', '73', '80', '84', '82', '79', '78', '79', '81', '83']","['81', '84', '86', '86', '85', '84', '82', '73', '73', '70', '71', '79', '86', '88', '85', '57', '77', '75', '70', '74', '78', '82', '77', '79', '77', '72', '70', '69', '67', '69']","['67', '73', '72', '73', '76', '79', '80', '76', '70', '76', '78', '76', '70', '68', '76', '79', '70', '71', '74', '77', '82', '85', '82', '85', '82', '80', '69', '68', '66', '66', '70']","['73', '76', '73', '73', '75', '71', '73', '78', '80', '73', '71', '74', '70', '69', '66', '71', '81', '80', '70', '59', '61', '64', '68', '68', '63', '63', '58', '55', '54', '57']","['60', '63', '64', '61', '63', '65', '66', '63', '60', '63', '63', '65', '67', '61', '58', '60', '58', '57', '60', '65', '66', '63', '57', '56', '54', '51', '55', '56', '56', '55', '61']"
Dallas,"['37', '32', '38', '44', '47', '55', '61', '55', '49', '46', '45', '48', '44', '42', '45', '52', '55', '57', '36', '36', '43', '54', '38', '43', '37', '44', '49', '49', '37', '41', '44']","['55', '58', '61', '65', '67', '68', '65', '38', '39', '41', '55', '50', '51', '62', '63', '42', '50', '43', '36', '44', '46', '48', '56', '46', '52', '52', '56', '46']","['52', '45', '44', '33', '35', '43', '56', '69', '72', '58', '56', '60', '68', '61', '51', '52', '58', '60', '61', '60', '65', '64', '62', '70', '65', '61', '63', '64', '66', '61', '51']","['52', '57', '57', '75', '69', '70', '72', '74', '76', '76', '74', '61', '58', '57', '65', '66', '73', '68', '61', '68', '70', '70', '72', '69', '72', '69', '73', '73', '70', '77']","['77', '76', '70', '73', '73', '76', '76', '75', '70', '57', '59', '68', '74', '75', '78', '78', '73', '78', '80', '78', '79', '77', '81', '79', '81', '79', '79', '79', '83', '77', '82']","['84', '82', '84', '84', '81', '84', '78', '83', '85', '76', '76', '79', '79', '79', '82', '84', '82', '84', '87', '85', '86', '85', '84', '80', '83', '82', '85', '87', '86', '82']","['82', '83', '82', '82', '85', '86', '88', '88', '88', '90', '89', '84', '85', '81', '85', '89', '88', '87', '88', '88', '88', '89', '82', '80', '80', '81', '84', '87', '84', '90', '88']","['90', '87', '82', '83', '86', '89', '90', '90', '91', '91', '92', '93', '93', '87', '90', '90', '90', '91', '91', '93', '91', '89', '89', '86', '87', '91', '82', '86', '87', '88', '85']","['85', '88', '88', '89', '91', '93', '92', '90', '88', '87', '86', '85', '87', '88', '89', '48', '86', '84', '78', '84', '83', '83', '86', '84', '85', '85', '84', '84', '84', '81']","['83', '85', '86', '79', '81', '86', '68', '70', '72', '80', '53', '57', '65', '67', '81', '61', '64', '63', '75', '76', '67', '68', '66', '65', '55', '59', '63', '65', '50', '51', '41']","['47', '52', '54', '63', '63', '70', '55', '48', '54', '61', '56', '33', '39', '45', '51', '51', '55', '60', '67', '65', '70', '52', '48', '56', '61', '68', '48', '47', '57', '69']","['50', '48', '54', '58', '59', '57', '53', '59', '67', '41', '46', '46', '55', '55', '62', '45', '39', '50', '47', '46', '49', '52', '56', '56', '59', '61', '64', '66', '52', '47', '50']"
San Jose,"['45', '48', '49', '49', '51', '50', '54', '55', '54', '53', '55', '55', '53', '52', '52', '55', '55', '54', '59', '57', '53', '51', '53', '55', '55', '55', '58', '58', '57', '58', '55']","['54', '54', '53', '46', '46', '48', '48', '45', '48', '46', '46', '49', '57', '54', '49', '48', '45', '47', '46', '48', '48', '46', '49', '51', '51', '55', '58', '59']","['57', '54', '55', '56', '51', '53', '50', '48', '44', '51', '54', '53', '53', '57', '61', '67', '67', '68', '63', '54', '58', '54', '57', '60', '56', '59', '55', '57', '59', '62', '67']","['67', '57', '60', '58', '56', '62', '71', '71', '60', '62', '60', '64', '71', '66', '58', '60', '72', '81', '77', '58', '66', '74', '80', '85', '82', '81', '75', '73', '68', '64']","['70', '72', '75', '73', '65', '64', '70', '75', '70', '75', '75', '76', '74', '69', '59', '55', '60', '54', '55', '63', '56', '64', '69', '71', '66', '54', '60', '70', '75', '73', '77']","['80', '77', '82', '88', '89', '75', '70', '78', '88', '95', '96', '91', '86', '81', '77', '78', '84', '88', '86', '72', '78', '84', '90', '85', '81', '73', '69', '73', '76', '80']","['77', '77', '77', '81', '85', '83', '76', '75', '77', '77', '81', '85', '87', '88', '83', '81', '81', '81', '79', '81', '85', '89', '86', '92', '91', '90', '94', '94', '81', '77', '83']","['79', '80', '89', '86', '83', '85', '79', '73', '76', '77', '80', '88', '91', '97', '98', '95', '79', '75', '79', '74', '81', '84', '86', '86', '91', '91', '91', '87', '78', '80', '88']","['88', '87', '83', '86', '80', '81', '68', '71', '71', '69', '80', '89', '91', '90', '73', '52', '72', '72', '71', '78', '80', '83', '78', '85', '88', '82', '74', '62', '62', '61']","['64', '71', '67', '66', '74', '79', '82', '78', '67', '67', '73', '76', '72', '73', '76', '66', '63', '62', '63', '67', '73', '78', '77', '83', '82', '79', '63', '64', '63', '64', '66']","['70', '73', '74', '75', '75', '71', '75', '74', '72', '71', '71', '71', '69', '59', '59', '66', '70', '74', '57', '57', '58', '59', '62', '64', '54', '51', '48', '46', '45', '45']","['53', '55', '57', '55', '54', '56', '58', '57', '58', '56', '59', '62', '57', '52', '48', '51', '53', '51', '54', '54', '53', '51', '50', '47', '48', '49', '48', '51', '50', '52', '52']"
Austin,"['42', '38', '41', '45', '50', '55', '61', '59', '52', '49', '53', '50', '45', '44', '47', '53', '58', '61', '45', '40', '49', '58', '40', '47', '44', '50', '53', '54', '39', '42', '51']","['58', '60', '64', '65', '67', '70', '66', '41', '37', '44', '58', '53', '51', '64', '70', '49', '59', '51', '43', '49', '49', '52', '62', '51', '55', '58', '62', '54']","['57', '53', '49', '38', '37', '44', '60', '69', '74', '68', '65', '70', '73', '65', '53', '52', '55', '58', '60', '61', '64', '66', '64', '68', '71', '64', '64', '66', '68', '66', '52']","['51', '57', '59', '75', '72', '73', '71', '73', '76', '75', '74', '65', '74', '59', '66', '70', '74', '71', '66', '66', '72', '72', '72', '71', '72', '70', '73', '72', '75', '77']","['76', '78', '73', '75', '73', '74', '77', '78', '79', '56', '65', '67', '71', '74', '75', '76', '79', '79', '82', '82', '81', '81', '81', '81', '81', '80', '79', '80', '82', '79', '80']","['82', '82', '82', '83', '83', '84', '82', '83', '86', '77', '75', '78', '78', '83', '85', '86', '84', '85', '89', '89', '89', '86', '85', '87', '85', '80', '84', '85', '84', '79']","['83', '84', '83', '85', '86', '87', '88', '88', '89', '89', '87', '88', '86', '85', '88', '88', '87', '86', '87', '87', '88', '90', '84', '81', '80', '83', '85', '87', '88', '88', '90']","['90', '90', '79', '84', '88', '89', '90', '91', '92', '92', '92', '93', '93', '92', '89', '92', '91', '91', '91', '90', '89', '89', '87', '88', '88', '89', '90', '87', '86', '86', '86']","['85', '87', '87', '89', '88', '90', '89', '88', '87', '85', '85', '85', '84', '87', '87', '47', '83', '83', '87', '83', '84', '83', '84', '84', '83', '84', '83', '85', '84', '85']","['83', '84', '84', '82', '83', '85', '70', '71', '75', '84', '54', '59', '66', '77', '84', '64', '63', '66', '80', '78', '72', '66', '69', '72', '54', '58', '64', '68', '59', '51', '43']","['48', '55', '57', '66', '68', '73', '64', '48', '55', '61', '65', '36', '38', '41', '48', '52', '57', '61', '65', '70', '72', '60', '54', '58', '65', '71', '55', '53', '66', '75']","['55', '52', '56', '59', '62', '62', '56', '62', '72', '45', '45', '50', '61', '60', '69', '59', '43', '47', '47', '49', '53', '50', '55', '57', '60', '64', '65', '68', '59', '51', '50']"
Jacksonville,"['68', '65', '68', '65', '55', '56', '60', '63', '58', '46', '56', '62', '65', '53', '50', '52', '55', '58', '64', '57', '43', '58', '64', '64', '51', '49', '52', '52', '54', '39', '49']","['56', '58', '59', '58', '61', '68', '69', '71', '58', '61', '66', '69', '55', '59', '62', '65', '66', '68', '64', '68', '69', '69', '69', '71', '61', '67', '64', '64']","['62', '61', '59', '65', '53', '48', '56', '67', '70', '75', '76', '66', '68', '71', '74', '65', '59', '62', '61', '61', '65', '64', '64', '69', '72', '68', '59', '64', '66', '69', '73']","['60', '64', '64', '68', '72', '75', '77', '77', '75', '74', '75', '77', '78', '81', '68', '70', '74', '76', '76', '66', '70', '71', '75', '78', '77', '79', '73', '77', '76', '78']","['78', '78', '81', '82', '83', '82', '80', '79', '79', '80', '82', '85', '81', '78', '77', '78', '81', '82', '81', '83', '84', '83', '82', '82', '86', '87', '90', '89', '89', '87', '88']","['89', '87', '89', '86', '86', '86', '82', '82', '86', '84', '85', '85', '86', '80', '82', '83', '84', '85', '83', '89', '89', '89', '88', '90', '90', '87', '85', '85', '82', '85']","['89', '88', '90', '87', '86', '86', '81', '87', '87', '84', '86', '85', '82', '87', '88', '88', '88', '86', '88', '86', '86', '86', '86', '79', '82', '82', '82', '83', '82', '84', '86']","['84', '78', '84', '86', '87', '86', '87', '89', '89', '90', '90', '89', '87', '90', '86', '85', '80', '82', '85', '85', '86', '86', '86', '86', '84', '84', '85', '86', '85', '84', '85']","['85', '85', '84', '78', '88', '87', '87', '88', '88', '85', '84', '84', '82', '83', '83', '45', '84', '82', '79', '80', '79', '80', '80', '82', '84', '85', '83', '82', '82', '83']","['82', '82', '82', '82', '82', '80', '77', '79', '78', '78', '77', '77', '78', '79', '77', '82', '71', '72', '76', '79', '80', '83', '70', '77', '79', '81', '82', '78', '80', '81', '82']","['63', '67', '68', '74', '77', '75', '77', '67', '65', '62', '70', '73', '55', '65', '66', '56', '57', '63', '62', '63', '66', '69', '70', '61', '60', '64', '70', '66', '65', '68']","['73', '55', '50', '55', '59', '65', '64', '67', '71', '72', '62', '64', '70', '68', '62', '69', '73', '52', '56', '62', '66', '65', '64', '63', '63', '65', '68', '69', '70', '73', '59']"
